block,trial_number,valid_trial,staircase_trial,motion_direction,quadrant,eccentricity,jitter_dva,flash_dva,flash_seconds,response,probe_offset_dva,staircase_identity,step_size_dva,staircase_direction,staircase_reversals
4,111,valid,14,petal,upper_left,outer,-1,10,1.25,inner,-2.05555555555556,upper_petal,0.444444444444444,-1,8
4,112,valid,15,uniform_control,upper_left,outer,-1,10,1,outer,-1.35185185185185,upper_control,0.296296296296296,-1,10
4,113,valid,15,petal,upper_left,inner,0,7,1,outer,-1.61111111111111,upper_petal,0.444444444444444,1,9
4,114,valid,14,fugal,lower_left,inner,-1,6,0.75,inner,-0.866666666666667,lower_fugal,0.2,-1,12
4,115,valid,C,petal,lower_right,inner,0,7,1,outer,5,catch_trial,0.444444444444444,1,9
4,116,valid,15,petal,lower_right,outer,-1,10,0.75,outer,-1.5,lower_petal,0.444444444444444,1,9
4,117,valid,C,fugal,upper_left,outer,0,11,1,outer,5,catch_trial,0.444444444444444,1,9
4,118,valid,15,fugal,upper_left,inner,1,8,1,inner,-0.444444444444444,upper_fugal,0.444444444444444,1,9
4,119,valid,15,fugal,lower_right,outer,-1,10,1,outer,-0.666666666666667,lower_fugal,0.2,1,13
4,120,valid,15,uniform_control,lower_right,inner,0,7,1,outer,-0.944444444444444,lower_control,0.444444444444444,-1,8
5,121,valid,16,petal,upper_right,inner,0,7,0.75,inner,-1.90740740740741,upper_petal,0.296296296296296,-1,10
5,122,valid,16,fugal,lower_left,outer,1,12,0.75,outer,-0.866666666666667,lower_fugal,0.2,-1,14
5,123,valid,17,petal,upper_left,outer,1,12,1,inner,-1.61111111111111,upper_petal,0.296296296296296,1,11
5,124,valid,16,petal,lower_left,outer,1,12,1,inner,-1.7962962962963,lower_petal,0.296296296296296,-1,10
5,125,valid,17,petal,lower_right,inner,0,7,0.75,outer,-1.5,lower_petal,0.296296296296296,1,11
5,126,valid,18,petal,upper_left,inner,0,7,1.25,inner,-1.31481481481482,upper_petal,0.296296296296296,1,11
5,127,valid,16,uniform_control,lower_left,inner,1,8,0.75,outer,-1.38888888888889,lower_control,0.444444444444444,-1,8
5,128,valid,16,fugal,upper_left,outer,0,11,0.75,inner,0,upper_fugal,0.444444444444444,1,9
5,129,valid,C,fugal,upper_right,outer,0,11,1,inner,-5,catch_trial,0.444444444444444,1,9
5,130,valid,17,fugal,upper_right,inner,0,7,0.75,outer,0.444444444444444,upper_fugal,0.444444444444444,1,9
5,131,valid,17,fugal,lower_right,outer,0,11,1.25,outer,-1.06666666666667,lower_fugal,0.2,-1,14
